node	occurrences	viFiles	commonestInputs	commonestOutputs
Format Value	1	1	string ("") | format string | value (0)	output string
Default Directory	1	1		path
Lossy Enqueue Element	1	1	queue | element | error in (no error)	queue out | overflow element | overflow? | error out
Request Deallocation	1	1	flag	
Exclusive Or	1	1	x | y	x .xor. y?
DataSocket Write	1	1	connection in | data | ms timeout (0) | error in (no error)	connection out | timed out | error out
Bluetooth Open Connection	1	1	address | channel (0) | timeout ms (60000) | error in (no error) | uuid	connection ID | error out
Bluetooth Discover	1	1	time limit ms (10000) | error in (no error)	number of devices | device list | error out
Bluetooth Create Listener	1	1	uuid | error in (no error) | address | service description	listener ID | channel | error out
Bluetooth Wait On Listener	1	1	listener ID in | timeout ms (wait forever\3A -1) | error in (no error)	connection ID | listener ID out | remote address | remote channel | error out
IrDA Discover	1	1	error in (no error)	number of devices | device list | error out
IrDA Open Connection	1	1	service name | remote device id | timeout ms (60000) | error in (no error)	connection ID | error out
IrDA Create Listener	1	1	service name | error in (no error)	listener ID | error out
IrDA Wait On Listener	1	1	listener ID in | timeout ms (wait forever\3A -1) | error in (no error)	connection ID | listener ID out | remote LSAP-SEL | remote device ID | error out
Load Certificates Into Memory	1	1	path to certificates | format | error in (no error)	certificates | error out
Load Private Key Into Memory	1	1	path to private key | format | password | error in (no error)	private key | error out
Add Trusted Certificate To TLS Configuration	1	1	TLS configuration | certificate | error in (no error)	TLS configuration out | error out
Add Private Key To TLS Configuration	1	1	TLS configuration | private key | certificate chain | error in (no error)	TLS configuration out | error out
Accept TLS	1	1	TCP connection | immutable TLS configuration | error in (no error) | timeout ms (300000)	TLS connection | client certificate chain | error out
Delete Variant Attribute	1	1	Variant | name (all attributes) | error in	Variant out | found | error out
Remove From Set	1	1	set in | element	set out | not included?
Element of Set?	1	1	set | element	found?
Set Menu Item Info	1	1	menu reference | item name | enabled | error in (no error) | item tag | checked | short cut	menu reference out | error out
Set Datalog Position	1	1	refnum | offset (in records) (0) | from (0\3Astart) | error in	refnum out | error out
Read Datalog	1	1	refnum | count (1) | error in	refnum out | record(s) | error out
Write Datalog	1	1	refnum | record(s) | error in	refnum out | error out
Move	1	1	source path | target path (use dialog) | overwrite (F) | error in | prompt (Choose or enter target path for move)	new path | cancelled | error out
TDMS Stop Asynchronous Reads	1	1	tdms file | error in (no error)	tdms file out | error out
TDMS Get Asynchronous Write Status	1	1	tdms file | error in (no error)	tdms file out | number of pending writes | error out
TDMS Flush	1	1	tdms file | error in (no error)	tdms file out | error out
Format Date/Time String	1	1	time format string (%c) | seconds (now) | UTC format	date/time string
TDMS Defragment	1	1	file path | error in (no error)	error out
GPIB Write	1	1	address string | data | mode (0) | error in | timeout ms (488.2 global)	status | error out
GPIB Read	1	1	address string | byte count | mode (0) | error in | timeout ms (488.2 global)	data | status | error out
VISA Discard Events	1	1	VISA resource name | event type (all enabled) | mechanism  (1\3A  VI_QUEUE) | error in (no error)	VISA resource name out | error out
VISA Map Trigger	1	1	VISA resource name | trigger source | trigger destination | error in (no error) | mode	VISA resource name out | error out
VISA Unmap Trigger	1	1	VISA resource name | trigger source | trigger destination (all) | error in (no error)	VISA resource name out | error out
VISA USB Control In	1	1	VISA resource name | request type | request | length (0) | error in (no error) | value (0) | index (0)	VISA resource name out | read buffer | error out
VISA USB Control Out	1	1	VISA resource name | request type | request | length (0) | error in (no error) | value (0) | index (0)	VISA resource name out | error out
New Data Value Reference	1	1	data value | error in	data value reference | error out
Delete Data Value Reference	1	1	data value reference | error in	data value | error out
Number To Exponential String	1	1	number | width (-) | precision (6) | use system decimal point (T)	E-format string
To Single Precision Float	1	1	number	single precision float
Close MATLAB Session	1	1	session in | error in	error out
Type Specialization Structure	1	1		
Cast Unit Bases	1	1	x | unit (none)	x
Complex Conjugate	1	1	x + iy	x - iy
Re/Im To Polar	1	1	x | y	r | theta
To Unsigned Quad Integer	1	1	number	unsigned 64bit integer
Unflatten From String	1	1	binary string | data includes array or string size? (T) | byte order (0\3Abig-endian\2C network order) | error in (no error) | type	rest of the binary string | value | error out
Wait on Notification from Multiple	1	1	notifiers | ignore previous (F) | timeout in ms (-1) | error in (no error)	notifier out | notifiers out | timed out? | error out
Generate Occurrence	1	1		occurrence
Wait on Occurrence	1	1	ms timeout (-1) | occurrence | ignore previous (T)	timed out
